pop xdeg xmin xsec xdir ydeg ymin ysec ydir commune province
101 72 50 15 W 19 40 15 N TERRE_NEUVE ARTIBONITE
40 72 49 45 W 19 40 15 N TERRE_NEUVE ARTIBONITE
27 72 49 15 W 19 40 15 N TERRE_NEUVE ARTIBONITE
40 72 48 45 W 19 40 15 N TERRE_NEUVE ARTIBONITE
67 72 48 15 W 19 40 15 N TERRE_NEUVE ARTIBONITE
46 72 47 45 W 19 40 15 N TERRE_NEUVE ARTIBONITE
38 72 51 15 W 19 39 45 N TERRE_NEUVE ARTIBONITE
1331 72 50 45 W 19 39 45 N TERRE_NEUVE ARTIBONITE
1660 72 50 15 W 19 39 45 N TERRE_NEUVE ARTIBONITE
42 72 49 45 W 19 39 45 N TERRE_NEUVE ARTIBONITE
42 72 49 15 W 19 39 45 N TERRE_NEUVE ARTIBONITE
42 72 48 45 W 19 39 45 N TERRE_NEUVE ARTIBONITE
42 72 48 15 W 19 39 45 N TERRE_NEUVE ARTIBONITE
21 72 50 45 W 19 39 15 N TERRE_NEUVE ARTIBONITE
31 72 50 15 W 19 39 15 N TERRE_NEUVE ARTIBONITE
996 72 49 45 W 19 39 15 N TERRE_NEUVE ARTIBONITE
503 72 49 15 W 19 39 15 N TERRE_NEUVE ARTIBONITE
40 72 48 45 W 19 39 15 N TERRE_NEUVE ARTIBONITE
42 72 48 15 W 19 39 15 N TERRE_NEUVE ARTIBONITE
25 72 49 15 W 19 38 45 N TERRE_NEUVE ARTIBONITE
7 72 48 45 W 19 38 45 N TERRE_NEUVE ARTIBONITE
42 72 48 15 W 19 38 45 N TERRE_NEUVE ARTIBONITE
29 72 45 45 W 19 47 15 N GROS_MORNE ARTIBONITE
51 72 46 15 W 19 46 45 N GROS_MORNE ARTIBONITE
25 72 45 45 W 19 46 45 N GROS_MORNE ARTIBONITE
23 72 45 15 W 19 46 45 N GROS_MORNE ARTIBONITE
205 72 46 45 W 19 46 15 N GROS_MORNE ARTIBONITE
64 72 46 15 W 19 46 15 N GROS_MORNE ARTIBONITE
43 72 45 45 W 19 46 15 N GROS_MORNE ARTIBONITE
82 72 45 15 W 19 46 15 N GROS_MORNE ARTIBONITE
2263 72 47 45 W 19 45 45 N GROS_MORNE ARTIBONITE
513 72 47 15 W 19 45 45 N GROS_MORNE ARTIBONITE
341 72 46 45 W 19 45 45 N GROS_MORNE ARTIBONITE
170 72 46 15 W 19 45 45 N GROS_MORNE ARTIBONITE
66 72 45 45 W 19 45 45 N GROS_MORNE ARTIBONITE
2289 72 45 15 W 19 45 45 N GROS_MORNE ARTIBONITE
50 72 48 15 W 19 45 15 N GROS_MORNE ARTIBONITE
170 72 47 45 W 19 45 15 N GROS_MORNE ARTIBONITE
469 72 47 15 W 19 45 15 N GROS_MORNE ARTIBONITE
409 72 46 45 W 19 45 15 N GROS_MORNE ARTIBONITE
188 72 46 15 W 19 45 15 N GROS_MORNE ARTIBONITE
113 72 45 45 W 19 45 15 N GROS_MORNE ARTIBONITE
97 72 45 15 W 19 45 15 N GROS_MORNE ARTIBONITE
69 72 48 15 W 19 44 45 N GROS_MORNE ARTIBONITE
205 72 47 45 W 19 44 45 N GROS_MORNE ARTIBONITE
460 72 47 15 W 19 44 45 N GROS_MORNE ARTIBONITE
2407 72 46 45 W 19 44 45 N GROS_MORNE ARTIBONITE
1753 72 46 15 W 19 44 45 N GROS_MORNE ARTIBONITE
3503 72 45 45 W 19 44 45 N GROS_MORNE ARTIBONITE
106 72 45 15 W 19 44 45 N GROS_MORNE ARTIBONITE
211 72 44 45 W 19 44 45 N GROS_MORNE ARTIBONITE
281 72 44 15 W 19 44 45 N GROS_MORNE ARTIBONITE
235 72 43 45 W 19 44 45 N GROS_MORNE ARTIBONITE
235 72 48 45 W 19 44 15 N GROS_MORNE ARTIBONITE
129 72 48 15 W 19 44 15 N GROS_MORNE ARTIBONITE
149 72 47 45 W 19 44 15 N GROS_MORNE ARTIBONITE
64 72 47 15 W 19 44 15 N GROS_MORNE ARTIBONITE
188 72 46 45 W 19 44 15 N GROS_MORNE ARTIBONITE
226 72 46 15 W 19 44 15 N GROS_MORNE ARTIBONITE
258 72 45 45 W 19 44 15 N GROS_MORNE ARTIBONITE
337 72 45 15 W 19 44 15 N GROS_MORNE ARTIBONITE
281 72 44 45 W 19 44 15 N GROS_MORNE ARTIBONITE
337 72 44 15 W 19 44 15 N GROS_MORNE ARTIBONITE
154 72 43 45 W 19 44 15 N GROS_MORNE ARTIBONITE
173 72 49 45 W 19 43 45 N GROS_MORNE ARTIBONITE
67 72 49 15 W 19 43 45 N GROS_MORNE ARTIBONITE
103 72 48 45 W 19 43 45 N GROS_MORNE ARTIBONITE
50 72 48 15 W 19 43 45 N GROS_MORNE ARTIBONITE
23 72 47 45 W 19 43 45 N GROS_MORNE ARTIBONITE
15 72 47 15 W 19 43 45 N GROS_MORNE ARTIBONITE
41 72 46 45 W 19 43 45 N GROS_MORNE ARTIBONITE
164 72 46 15 W 19 43 45 N GROS_MORNE ARTIBONITE
94 72 45 45 W 19 43 45 N GROS_MORNE ARTIBONITE
141 72 45 15 W 19 43 45 N GROS_MORNE ARTIBONITE
117 72 44 45 W 19 43 45 N GROS_MORNE ARTIBONITE
188 72 44 15 W 19 43 45 N GROS_MORNE ARTIBONITE
94 72 43 45 W 19 43 45 N GROS_MORNE ARTIBONITE
188 72 43 15 W 19 43 45 N GROS_MORNE ARTIBONITE
131 72 49 45 W 19 43 15 N GROS_MORNE ARTIBONITE
50 72 49 15 W 19 43 15 N GROS_MORNE ARTIBONITE
25 72 48 45 W 19 43 15 N GROS_MORNE ARTIBONITE
28 72 48 15 W 19 43 15 N GROS_MORNE ARTIBONITE
56 72 47 45 W 19 43 15 N GROS_MORNE ARTIBONITE
117 72 47 15 W 19 43 15 N GROS_MORNE ARTIBONITE
65 72 46 45 W 19 43 15 N GROS_MORNE ARTIBONITE
38 72 46 15 W 19 43 15 N GROS_MORNE ARTIBONITE
29 72 45 45 W 19 43 15 N GROS_MORNE ARTIBONITE
141 72 45 15 W 19 43 15 N GROS_MORNE ARTIBONITE
167 72 44 45 W 19 43 15 N GROS_MORNE ARTIBONITE
226 72 44 15 W 19 43 15 N GROS_MORNE ARTIBONITE
56 72 43 45 W 19 43 15 N GROS_MORNE ARTIBONITE
188 72 43 15 W 19 43 15 N GROS_MORNE ARTIBONITE
40 72 49 15 W 19 42 45 N GROS_MORNE ARTIBONITE
25 72 48 45 W 19 42 45 N GROS_MORNE ARTIBONITE
29 72 48 15 W 19 42 45 N GROS_MORNE ARTIBONITE
35 72 47 45 W 19 42 45 N GROS_MORNE ARTIBONITE
224 72 47 15 W 19 42 45 N GROS_MORNE ARTIBONITE
130 72 46 45 W 19 42 45 N GROS_MORNE ARTIBONITE
56 72 46 15 W 19 42 45 N GROS_MORNE ARTIBONITE
56 72 45 45 W 19 42 45 N GROS_MORNE ARTIBONITE
111 72 45 15 W 19 42 45 N GROS_MORNE ARTIBONITE
1430 72 44 45 W 19 42 45 N GROS_MORNE ARTIBONITE
141 72 44 15 W 19 42 45 N GROS_MORNE ARTIBONITE
84 72 43 45 W 19 42 45 N GROS_MORNE ARTIBONITE
70 72 43 15 W 19 42 45 N GROS_MORNE ARTIBONITE
94 72 42 45 W 19 42 45 N GROS_MORNE ARTIBONITE
28 72 49 15 W 19 42 15 N GROS_MORNE ARTIBONITE
28 72 48 45 W 19 42 15 N GROS_MORNE ARTIBONITE
33 72 48 15 W 19 42 15 N GROS_MORNE ARTIBONITE
21 72 47 45 W 19 42 15 N GROS_MORNE ARTIBONITE
1167 72 47 15 W 19 42 15 N GROS_MORNE ARTIBONITE
141 72 46 45 W 19 42 15 N GROS_MORNE ARTIBONITE
94 72 46 15 W 19 42 15 N GROS_MORNE ARTIBONITE
47 72 45 45 W 19 42 15 N GROS_MORNE ARTIBONITE
56 72 45 15 W 19 42 15 N GROS_MORNE ARTIBONITE
113 72 44 45 W 19 42 15 N GROS_MORNE ARTIBONITE
113 72 44 15 W 19 42 15 N GROS_MORNE ARTIBONITE
196 72 43 45 W 19 42 15 N GROS_MORNE ARTIBONITE
56 72 43 15 W 19 42 15 N GROS_MORNE ARTIBONITE
98 72 42 45 W 19 42 15 N GROS_MORNE ARTIBONITE
21 72 49 15 W 19 41 45 N GROS_MORNE ARTIBONITE
43 72 48 45 W 19 41 45 N GROS_MORNE ARTIBONITE
82 72 48 15 W 19 41 45 N GROS_MORNE ARTIBONITE
33 72 47 45 W 19 41 45 N GROS_MORNE ARTIBONITE
42 72 47 15 W 19 41 45 N GROS_MORNE ARTIBONITE
56 72 46 45 W 19 41 45 N GROS_MORNE ARTIBONITE
130 72 46 15 W 19 41 45 N GROS_MORNE ARTIBONITE
65 72 45 45 W 19 41 45 N GROS_MORNE ARTIBONITE
29 72 45 15 W 19 41 45 N GROS_MORNE ARTIBONITE
167 72 44 45 W 19 41 45 N GROS_MORNE ARTIBONITE
196 72 44 15 W 19 41 45 N GROS_MORNE ARTIBONITE
188 72 43 45 W 19 41 45 N GROS_MORNE ARTIBONITE
140 72 43 15 W 19 41 45 N GROS_MORNE ARTIBONITE
94 72 42 45 W 19 41 45 N GROS_MORNE ARTIBONITE
38 72 48 45 W 19 41 15 N GROS_MORNE ARTIBONITE
35 72 48 15 W 19 41 15 N GROS_MORNE ARTIBONITE
56 72 47 45 W 19 41 15 N GROS_MORNE ARTIBONITE
38 72 47 15 W 19 41 15 N GROS_MORNE ARTIBONITE
76 72 46 45 W 19 41 15 N GROS_MORNE ARTIBONITE
56 72 46 15 W 19 41 15 N GROS_MORNE ARTIBONITE
76 72 45 45 W 19 41 15 N GROS_MORNE ARTIBONITE
47 72 45 15 W 19 41 15 N GROS_MORNE ARTIBONITE
906 72 44 45 W 19 41 15 N GROS_MORNE ARTIBONITE
84 72 44 15 W 19 41 15 N GROS_MORNE ARTIBONITE
149 72 43 45 W 19 41 15 N GROS_MORNE ARTIBONITE
2802 72 43 15 W 19 41 15 N GROS_MORNE ARTIBONITE
56 72 46 45 W 19 40 45 N GROS_MORNE ARTIBONITE
292 72 46 15 W 19 40 45 N GROS_MORNE ARTIBONITE
23 72 45 45 W 19 40 45 N GROS_MORNE ARTIBONITE
47 72 45 15 W 19 40 45 N GROS_MORNE ARTIBONITE
38 72 44 45 W 19 40 45 N GROS_MORNE ARTIBONITE
23 72 44 15 W 19 40 45 N GROS_MORNE ARTIBONITE
82 72 43 45 W 19 40 45 N GROS_MORNE ARTIBONITE
56 72 46 45 W 19 40 15 N GROS_MORNE ARTIBONITE
76 72 46 15 W 19 40 15 N GROS_MORNE ARTIBONITE
11 72 28 15 W 19 47 45 N PORT_MARGOT NORD
12 72 27 45 W 19 47 45 N PORT_MARGOT NORD
26 72 30 15 W 19 47 15 N PORT_MARGOT NORD
53 72 29 45 W 19 47 15 N PORT_MARGOT NORD
35 72 29 15 W 19 47 15 N PORT_MARGOT NORD
141 72 28 45 W 19 47 15 N PORT_MARGOT NORD
141 72 28 15 W 19 47 15 N PORT_MARGOT NORD
12 72 27 45 W 19 47 15 N PORT_MARGOT NORD
12 72 27 15 W 19 47 15 N PORT_MARGOT NORD
36 72 30 15 W 19 46 45 N PORT_MARGOT NORD
28 72 29 45 W 19 46 45 N PORT_MARGOT NORD
15 72 29 15 W 19 46 45 N PORT_MARGOT NORD
9 72 28 45 W 19 46 45 N PORT_MARGOT NORD
12 72 28 15 W 19 46 45 N PORT_MARGOT NORD
176 72 27 45 W 19 46 45 N PORT_MARGOT NORD
4 72 30 15 W 19 46 15 N PORT_MARGOT NORD
1508 72 29 45 W 19 46 15 N PORT_MARGOT NORD
23 72 29 15 W 19 46 15 N PORT_MARGOT NORD
20 72 28 45 W 19 46 15 N PORT_MARGOT NORD
9 72 28 15 W 19 46 15 N PORT_MARGOT NORD
10 72 27 45 W 19 46 15 N PORT_MARGOT NORD
55 72 29 15 W 19 45 45 N PORT_MARGOT NORD
38 72 28 45 W 19 45 45 N PORT_MARGOT NORD
133 72 28 15 W 19 45 45 N PORT_MARGOT NORD
